Country,City,Latitude,Longitude
Argentina,Buenos Aires,-34.608521,-58.373539
Australia,Adelaide,-34.926102,138.599884
Australia,Brisbane,-27.46888,153.022827
Australia,Derrimut,-37.79953,144.789078
Australia,Melbourne,-37.817532,144.967148
Australia,Perth,-31.95302,115.857239
Australia,Sydney,-33.869629,151.206955
Austria,Graz,47.068565,15.44318
Austria,Linz,48.30425,14.288155
Austria,Vienna,48.202548,16.368805
Bangladesh,Chittagong,22.330299,91.825111
Bangladesh,Dhaka,23.709801,90.407112
Belgium,Houdeng-Goegnies,50.4893,4.15672
Belgium,Oevel,51.138741,4.90372
BELGIUM,SCHOTEN,51.251035,4.49799
Belgium,Zaventem,50.883545,4.474115
Botswana,Gaborone,-24.655284,25.919065
Brazil,Campinas,-22.909049,-47.064594
Brazil,Curitiba,-25.440024,-49.276709
Brazil,Guarulhos,-23.443987,-46.507779
Brazil,Paranagua,-25.520629,-48.509349
Brazil,Porto Alegre,-30.034259,-51.22802
Brazil,Rio De Janeiro,-22.976734,-43.195084
Brazil,Santos,-23.961694,-46.328099
Brazil,Sao Paulo,-23.56288,-46.654659
Brazil,Viracopos,-14.24292,-54.387829
Cambodia,Phnom Penh,11.56474,104.913208
Canada,Brampton,43.684305,-79.758729
Canada,Calgary,51.04522,-114.063014
Canada,Cambridge,45.852971,-66.07252
Canada,Edmonton,53.54622,-113.490374
Canada,Leamington,42.054155,-82.599714
Canada,Markham,43.856034,-79.339942
Canada,Mississauga,43.588285,-79.643724
Canada,Montreal,45.512293,-73.554407
Canada,Niagara Falls,43.10663,-79.064239
Canada,Vancouver,49.26044,-123.114034
Chile,Santiago,-33.437269,-70.650564
China,Beijing,39.90601,116.387909
China,Chengdu,30.67,104.071022
China,Chongqing,29.544001,106.522621
China,Dalian,38.94381,121.576523
China,Fuzhou,26.070999,119.303223
China,Guangzhou,23.107389,113.267616
China,Ningbo,29.87096,121.543549
China,Qingdao,36.087509,120.34272
China,Shanghai,31.247709,121.472618
China,Shenyang,41.788509,123.40612
China,Shenzhen,22.546789,114.112556
China,Suzhou,31.3092,120.613121
China,Tianjin,38.95892,117.63343
China,Wuhan,30.572399,114.279121
China,Xiamen,24.45252,118.079117
China,Xian,34.27301,108.928009
China,Zhangjiagang,31.950001,120.449997
China,Zhengzhou,34.762501,113.653023
China,Zhongshan,22.516701,113.366699
Colombia,Bogota,4.65637,-74.11779
Colombia,Buenaventura,3.88369,-77.040314
Colombia,Cali,3.43863,-76.517014
Colombia,Cartagena,10.38706,-75.505699
Colombia,Medellin,6.23651,-75.590279
Czech Republic,Pilsen,49.74654,13.381902
Czech Republic,Prague,50.079083,14.43323
Denmark,Hvidovre,55.63664,12.47436
Egypt,Alexandria,31.19224,29.88987
Egypt,Auga,26.69636,30.246469
Egypt,Cairo,30.08374,31.25536
Egypt,Port Said,31.259279,32.284458
Egypt,Sokhna,26.69636,30.246469
Finland,Helsinki,60.17116,24.93258
France,Bordeaux,44.836635,-0.581039
France,Le Havre,49.49346,0.101395
France,Lyon,45.759399,4.82897
France,Mulhouse,47.75171,7.34365
France,Nantes,47.218115,-1.553059
France,Nice,43.701539,7.278244
France,Roissy Cdg Cedex,49.005749,2.53782
France,Toulouse,43.6,1.4333333
Germany,Ahrensburg,53.66945,10.231935
Germany,Berlin,52.5166667,13.4
Germany,Bremen,53.075166,8.804667
Germany,Dortmund,51.516615,7.458295
Germany,Duesseldorf,51.21563,6.776055
Germany,Frankfurt,50.112065,8.683415
Germany,Freiburg,47.99854,7.849655
Germany,Hamburg,53.553345,9.992455
Germany,Hannover,52.372278,9.738157
Germany,Kassel,51.311788,9.491211
Germany,Kelsterbach,50.061415,8.53165
Germany,Koeln,50.941655,6.955055
Germany,Mannheim,49.48651,8.466785
Germany,Muenchen,48.136415,11.577531
Germany,Muenster,48.623685,10.90317
Germany,Munich,48.136415,11.577531
Germany,Nuernberg,49.45432,11.073955
